session,experiment,rolling_63d_correlation
2021-03-23,S00,0.39866549546647795
2021-03-24,S00,0.402038261957126
2021-03-25,S00,0.40506142104840526
2021-03-26,S00,0.40749406872300187
2021-03-29,S00,0.407656486727985
2021-03-30,S00,0.39465902915089074
2021-03-31,S00,0.3973380662828474
2021-04-01,S00,0.39428255965167014
2021-04-05,S00,0.37889195593626307
2021-04-06,S00,0.3814393146396964
2021-04-07,S00,0.3799598221017523
2021-04-08,S00,0.37180546337320597
2021-04-09,S00,0.3713517284561782
2021-04-12,S00,0.3715156052025161
2021-04-13,S00,0.3651373904682211
2021-04-14,S00,0.35390089365445276
2021-04-15,S00,0.33413236817896064
2021-04-16,S00,0.3300711705247473
2021-04-19,S00,0.3496846776485129
2021-04-20,S00,0.37456459018016586
2021-04-21,S00,0.3844879297437783
2021-04-22,S00,0.3832656915599608
2021-04-23,S00,0.38225208138606465
2021-04-26,S00,0.3946847257789709
2021-04-27,S00,0.39270458752342535
2021-04-28,S00,0.3810132344237944
2021-04-29,S00,0.3802689324120069
2021-04-30,S00,0.3668796750897446
2021-05-03,S00,0.34633929622639414
2021-05-04,S00,0.30397574400768457
2021-05-05,S00,0.30222620581007725
2021-05-06,S00,0.30337423035207073
2021-05-07,S00,0.3087083702688439
2021-05-10,S00,0.3178300242891859
2021-05-11,S00,0.30494836883002463
2021-05-12,S00,0.31533640369886545
2021-05-13,S00,0.31015534252732024
2021-05-14,S00,0.32272613006687817
2021-05-17,S00,0.32211793601158456
2021-05-18,S00,0.3166998956456329
2021-05-19,S00,0.31742470448541665
2021-05-20,S00,0.34138982262265466
2021-05-21,S00,0.3284247853727801
2021-05-24,S00,0.3293500620948632
2021-05-25,S00,0.32970944080753334
2021-05-26,S00,0.30853732365783143
2021-05-27,S00,0.3362888587705363
2021-05-28,S00,0.29684346360462366
2021-06-01,S00,0.2792720479381995
2021-06-02,S00,0.22096803320894312
2021-06-03,S00,0.22688046377496707
2021-06-04,S00,0.2732127173934056
2021-06-07,S00,0.25500686346135715
2021-06-08,S00,0.15354564950101438
2021-06-09,S00,0.15735172353463672
2021-06-10,S00,0.16411679530404638
2021-06-11,S00,0.16044257757145788
2021-06-14,S00,0.14880400493579096
2021-06-15,S00,0.14051048956699144
2021-06-16,S00,0.13879009998151226
2021-06-17,S00,0.1177322157313868
2021-06-18,S00,0.17662539131154548
2021-06-21,S00,0.2256474291165163
2021-06-22,S00,0.19702448885967144
2021-06-23,S00,0.1882592747218934
2021-06-24,S00,0.18246589561849846
2021-06-25,S00,0.17329811397972045
2021-06-28,S00,0.1700909009601358
2021-06-29,S00,0.17985330769778354
2021-06-30,S00,0.17752520236918903
