symbol,security_id,sector,latest_raw_close,median_dollar_volume_60,coverage_60,valid_observations,shortable_at_capture,eligible,reasons,membership_available_at,scope,approved_weight
CVS,4f4530c8-5ba0-4b16-86ec-b0ce753c5ac8,Health Care,88.84,679210940.605,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
FIX,b56fafb4-300c-4444-a83a-876ca63e1b3c,Industrials,1651.37,673167010.95,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
MDT,1fc2849e-26d5-4f49-add6-2f913ded54c9,Health Care,92.13,672029500.55,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
SBUX,0a7deac5-2d75-4e54-9f66-51c1c6fad55b,Consumer Discretionary,95.83,659474714.72,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
CMCSA,5ddc1e60-daca-45da-b2de-f3ee597e60bc,Communication,22.74,655028405.46,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
SNPS,fa8500c0-9022-4a74-97f9-93d41ed28dac,Information Technology,384.97,651292420.7950001,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
F,1e80b378-a5e3-4727-96bf-9c64fdd4e7e2,Consumer Discretionary,13.21,649810784.24,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
HWM,6f9bf0b0-4114-495f-87e4-720b2db3772a,Industrials,229.67,646959531.21,1.0,1625,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
WELL,b94a7925-39e6-4a74-9db6-44888cb57d40,Real Estate,228.87,637268637.82,1.0,2151,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
LOW,a6ffe329-5ea3-4bb8-b58a-06ed1432dd50,Consumer Discretionary,192.49,629047704.56,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
ABNB,403113aa-7838-4345-dd32-d63a5f9da70b,Consumer Discretionary,166.22,623852986.5,1.0,1449,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
PWR,922c81b2-d99a-4a7f-bf54-6ebd6f8305bd,Industrials,636.71,622084511.52,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
VST,d88f5f2c-e621-4d4a-9817-8677af2fd066,Utilities,140.67,614217366.425,1.0,2353,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
